TransactionID,CustomerID,PurchaseDate,Age,Gender,Location,ProductCategory,Quantity,UnitPrice,PaymentMethod,DiscountPercent,ShippingCost,CustomerRating,ChurnStatus,TotalAmount
TXN10020,CUST358,2026-05-26,36.0,Male,Bangalore,Beauty,9,2031.44,Wallet,5,129.2,3.0,No,17498.012
TXN10021,CUST444,2026-03-04,43.0,Female,Pune,Beauty,7,933.52,Credit Card,20,93.79,2.0,Yes,5321.5019999999995
TXN10022,CUST394,2026-04-26,28.0,Male,Bangalore,Fashion,1,2525.07,Credit Card,20,76.26,1.0,Yes,2096.3160000000003
TXN10023,CUST486,2026-04-23,57.0,Male,Hyderabad,Beauty,1,2409.7,COD,20,183.99,5.0,Yes,2111.75
TXN10024,CUST292,2026-02-16,67.0,Female,Delhi,Electronics,1,4785.67,Wallet,20,194.42,3.0,No,4022.956
TXN10025,CUST377,2026-02-26,60.0,Female,Pune,Beauty,2,2225.27,COD,0,109.42,3.0,Yes,4559.96
TXN10026,CUST261,2026-04-28,28.0,Male,Mumbai,Electronics,1,3949.57,COD,0,72.24,2.0,Yes,4021.81
TXN10027,CUST414,2026-02-14,62.0,Female,Hyderabad,Fashion,4,4715.36,COD,10,158.62,1.0,Yes,17133.915999999997
TXN10028,CUST122,2026-06-10,20.0,Male,Pune,Fashion,9,4397.25,COD,10,43.84,1.0,Yes,35661.564999999995
TXN10029,CUST353,2026-05-25,29.0,Female,Mumbai,Electronics,4,1122.47,UPI,20,157.81,1.0,Yes,3749.714
TXN10030,CUST336,2026-01-04,20.0,Female,Pune,Beauty,4,2530.55,Credit Card,10,167.41,5.0,Yes,9277.39
TXN10031,CUST445,2026-05-28,59.0,Male,Hyderabad,Electronics,7,1803.92,Credit Card,0,42.48,4.0,No,12669.92
TXN10032,CUST149,2026-02-16,44.0,Male,Pune,Beauty,9,2059.31,COD,20,195.84,3.0,No,15022.872
TXN10033,CUST159,2026-05-23,66.0,Male,Bangalore,Home,7,1867.95,COD,20,197.39,5.0,Yes,10657.91
TXN10034,CUST270,2026-02-16,19.0,Female,Hyderabad,Beauty,1,4149.16,UPI,0,188.61,5.0,Yes,4337.77
TXN10035,CUST288,2026-03-19,66.0,Male,Pune,Electronics,1,2315.48,COD,5,109.29,3.0,Yes,2308.996
TXN10036,CUST371,2026-05-04,33.0,Male,Delhi,Beauty,4,2666.1,UPI,20,64.29,2.0,No,8595.810000000001
TXN10037,CUST290,2026-03-16,19.0,Female,Pune,Fashion,4,4913.99,UPI,10,124.76,3.0,Yes,17815.124
TXN10038,CUST275,2026-04-13,47.0,Female,Bangalore,Electronics,1,393.9,COD,5,95.59,1.0,Yes,469.795
TXN10039,CUST151,2026-05-17,37.0,Male,Mumbai,Electronics,6,2490.99,Credit Card,0,57.07,5.0,Yes,15003.009999999998
TXN10040,CUST464,2026-03-31,55.0,Male,Mumbai,Home,2,3892.9,UPI,5,96.26,3.0,Yes,7492.77
TXN10041,CUST155,2026-05-24,45.0,Male,Mumbai,Electronics,5,840.69,Credit Card,5,139.5,2.0,Yes,4132.7775
TXN10042,CUST344,2026-03-10,42.0,Male,Delhi,Electronics,8,3096.5,Credit Card,20,32.76,4.0,Yes,19850.36
TXN10043,CUST420,2026-03-02,49.0,Female,Bangalore,Fashion,3,1273.38,UPI,5,80.02,3.0,No,3709.153
TXN10044,CUST231,2026-05-18,27.0,Female,Hyderabad,Fashion,9,4350.28,Wallet,10,23.2,1.0,Yes,35260.46799999999
TXN10045,CUST407,2026-02-19,59.0,Male,Mumbai,Fashion,7,1702.79,UPI,20,154.91,5.0,Yes,9690.534
TXN10046,CUST235,2026-01-03,57.0,Male,Bangalore,Electronics,9,1712.41,Wallet,0,135.32,4.0,Yes,15547.01
TXN10047,CUST121,2026-04-17,50.0,Male,Pune,Beauty,1,3031.15,UPI,10,31.28,2.0,No,2759.3150000000005
TXN10048,CUST429,2026-04-23,30.0,Female,Delhi,Electronics,5,999.46,UPI,20,193.65,1.0,No,4191.49
TXN10049,CUST267,2026-04-04,58.0,Male,Bangalore,Beauty,3,1495.95,Credit Card,5,24.07,4.0,Yes,4287.5275
TXN10050,CUST374,2026-04-28,59.0,Male,Bangalore,Beauty,4,2141.5,Credit Card,10,126.19,3.0,Yes,7835.59
TXN10051,CUST488,2026-03-22,64.0,Female,Hyderabad,Fashion,4,1832.83,COD,20,159.75,3.0,Yes,6024.8060000000005
TXN10052,CUST189,2026-04-19,54.0,Female,Bangalore,Beauty,7,2671.9,Credit Card,20,161.82,2.0,No,15124.46
TXN10053,CUST416,2026-02-20,33.0,Male,Hyderabad,Electronics,8,3038.24,Credit Card,0,26.17,1.0,Yes,24332.09
TXN10054,CUST114,2026-05-27,62.0,Male,Delhi,Electronics,5,2876.67,Credit Card,20,183.15,5.0,Yes,11689.83
TXN10055,CUST342,2026-06-19,39.0,Female,Delhi,Home,7,3305.42,Credit Card,0,185.32,2.0,No,23323.26
TXN10056,CUST365,2026-02-04,37.0,Male,Pune,Electronics,3,1607.97,COD,5,121.05,4.0,Yes,4703.7645
TXN10057,CUST446,2026-02-15,67.0,Male,Hyderabad,Beauty,3,719.49,Credit Card,20,106.77,1.0,Yes,1833.5460000000005
TXN10058,CUST153,2026-06-03,60.0,Female,Hyderabad,Electronics,3,3827.96,Wallet,20,28.08,3.0,No,9215.184
TXN10059,CUST486,2026-03-10,44.0,Female,Mumbai,Electronics,4,4268.82,Wallet,5,121.15,3.0,No,16342.665999999996
TXN10060,CUST440,2026-04-03,58.0,Female,Mumbai,Electronics,6,1359.33,COD,20,93.69,3.0,Yes,6618.473999999999
TXN10061,CUST192,2026-03-05,33.0,Male,Pune,Electronics,5,2094.75,Credit Card,20,159.11,1.0,No,8538.11
TXN10062,CUST467,2026-06-14,51.0,Female,Delhi,Electronics,8,2542.99,Wallet,10,92.7,4.0,Yes,18402.228
TXN10063,CUST364,2026-02-18,49.0,Female,Hyderabad,Beauty,5,2713.3,UPI,0,143.04,4.0,No,13709.54
TXN10064,CUST135,2026-05-29,43.0,Male,Mumbai,Home,5,3331.5,Wallet,20,38.25,3.0,Yes,13364.25
TXN10065,CUST306,2026-03-15,42.0,Male,Bangalore,Electronics,2,303.86,Credit Card,20,43.93,4.0,No,530.106
TXN10066,CUST181,2026-01-05,19.0,Female,Delhi,Home,5,3635.24,Wallet,0,45.15,1.0,Yes,18221.35
TXN10067,CUST150,2026-04-10,29.0,Female,Hyderabad,Electronics,7,403.66,UPI,10,28.19,3.0,Yes,2571.2480000000005
TXN10068,CUST460,2026-03-11,57.0,Male,Bangalore,Electronics,2,2394.61,Wallet,0,117.44,2.0,Yes,4906.66
TXN10069,CUST488,2026-03-31,26.0,Male,Hyderabad,Fashion,6,4155.59,Credit Card,20,162.91,3.0,No,20109.742
TXN10070,CUST102,2026-01-04,29.0,Female,Delhi,Electronics,7,2310.96,UPI,5,129.87,3.0,Yes,15497.754
TXN10071,CUST490,2026-05-06,43.0,Female,Pune,Fashion,5,830.54,COD,5,123.49,1.0,Yes,4068.555
TXN10072,CUST154,2026-02-08,26.0,Male,Hyderabad,Home,9,4926.67,UPI,10,142.51,4.0,No,40048.537
TXN10073,CUST206,2026-06-12,43.0,Female,Hyderabad,Beauty,4,4457.5,Wallet,10,81.14,3.0,Yes,16128.14
TXN10074,CUST360,2026-05-09,49.0,Male,Bangalore,Fashion,1,3879.44,COD,20,85.15,3.0,Yes,3188.702
TXN10075,CUST410,2026-01-24,51.0,Female,Hyderabad,Electronics,8,2116.41,UPI,10,76.57,5.0,Yes,15314.722
TXN10076,CUST291,2026-02-26,65.0,Male,Mumbai,Electronics,8,1000.84,UPI,20,148.18,3.0,Yes,6553.5560000000005
TXN10077,CUST318,2026-04-10,43.0,Male,Delhi,Home,7,4712.91,UPI,5,49.1,3.0,No,31389.951499999992
TXN10078,CUST144,2026-03-11,56.0,Female,Mumbai,Electronics,8,2708.52,Credit Card,10,22.34,4.0,Yes,19523.684
TXN10079,CUST262,2026-02-10,19.0,Female,Bangalore,Beauty,2,4276.54,COD,20,127.32,2.0,Yes,6969.784
TXN10080,CUST302,2026-06-23,18.0,Male,Hyderabad,Electronics,3,1776.27,COD,0,189.63,2.0,Yes,5518.44
TXN10081,CUST370,2026-03-01,68.0,Female,Bangalore,Beauty,9,1742.91,UPI,10,129.69,4.0,No,14247.261
TXN10082,CUST451,2026-04-18,53.0,Female,Delhi,Beauty,1,4929.15,COD,20,160.93,3.0,Yes,4104.25
TXN10083,CUST404,2026-02-26,41.0,Female,Hyderabad,Electronics,8,2656.98,Wallet,20,141.1,1.0,No,17145.772
TXN10084,CUST371,2026-01-31,44.0,Male,Pune,Electronics,8,789.41,Wallet,0,109.54,3.0,Yes,6424.82
TXN10085,CUST315,2026-03-25,19.0,Female,Bangalore,Beauty,7,1176.41,UPI,5,149.31,3.0,Yes,7972.436500000001
TXN10086,CUST352,2026-06-01,48.0,Female,Delhi,Home,5,2461.53,Wallet,0,168.34,2.0,No,12475.990000000002
TXN10087,CUST290,2026-02-05,31.0,Male,Pune,Electronics,4,308.11,UPI,20,60.45,4.0,Yes,1046.402
TXN10088,CUST396,2026-06-07,19.0,Female,Hyderabad,Electronics,6,2366.42,Wallet,0,80.5,1.0,No,14279.02
TXN10089,CUST313,2026-06-01,46.0,Female,Hyderabad,Fashion,1,2152.81,UPI,0,60.27,3.0,Yes,2213.08
TXN10090,CUST308,2026-04-18,32.0,Male,Bangalore,Home,5,3918.75,UPI,20,101.39,4.0,Yes,15776.39
TXN10091,CUST337,2026-04-16,29.0,Male,Hyderabad,Electronics,4,1839.22,COD,5,179.31,2.0,No,7168.3460000000005
TXN10092,CUST438,2026-06-07,54.0,Female,Delhi,Electronics,4,4914.49,COD,0,82.14,1.0,No,19740.1
TXN10093,CUST467,2026-03-27,45.0,Female,Hyderabad,Home,7,985.77,UPI,0,87.4,1.0,Yes,6987.789999999999
TXN10094,CUST153,2026-05-15,37.0,Male,Hyderabad,Fashion,9,2995.83,COD,10,174.87,2.0,Yes,24441.093
TXN10095,CUST380,2026-06-12,56.0,Male,Delhi,Beauty,8,539.53,COD,10,112.77,1.0,Yes,3997.386
TXN10096,CUST317,2026-01-14,41.0,Female,Delhi,Electronics,8,3695.93,Credit Card,20,116.38,3.0,Yes,23770.332
TXN10097,CUST352,2026-04-30,38.0,Female,Bangalore,Electronics,5,4974.29,Wallet,20,174.94,2.0,No,20072.1
TXN10098,CUST288,2026-05-18,27.0,Female,Hyderabad,Fashion,6,4113.78,COD,20,108.29,3.0,Yes,19854.434
TXN10099,CUST480,2026-03-21,63.0,Male,Pune,Electronics,2,2822.95,UPI,10,142.68,4.0,Yes,5223.99
TXN10100,CUST141,2026-05-24,31.0,Female,Delhi,Home,3,2475.23,Credit Card,20,35.42,5.0,Yes,5975.972000000001
TXN10101,CUST257,2026-04-16,54.0,Male,Hyderabad,Electronics,5,4191.65,Credit Card,0,52.15,3.0,No,21010.4
TXN10102,CUST115,2026-03-11,35.0,Male,Hyderabad,Beauty,2,4686.27,COD,0,92.79,4.0,No,9465.330000000002
TXN10103,CUST401,2026-02-13,41.0,Male,Delhi,Home,3,4947.11,UPI,5,109.07,3.0,Yes,14208.333499999995
TXN10104,CUST165,2026-03-14,31.0,Female,Pune,Electronics,4,2043.04,UPI,20,193.83,3.0,Yes,6731.558
TXN10105,CUST445,2026-02-14,51.0,Female,Bangalore,Fashion,6,4955.5,UPI,0,194.72,3.0,Yes,29927.72
TXN10106,CUST427,2026-04-17,29.0,Female,Hyderabad,Electronics,5,864.04,UPI,0,173.22,3.0,No,4493.42
TXN10107,CUST109,2026-03-25,39.0,Male,Delhi,Electronics,4,1342.39,UPI,5,76.81,3.0,No,5177.892000000001
TXN10108,CUST444,2026-03-23,23.0,Female,Delhi,Electronics,2,536.18,Wallet,0,193.53,2.0,No,1265.89
TXN10109,CUST229,2026-04-17,53.0,Male,Hyderabad,Home,5,1431.52,UPI,5,144.08,5.0,Yes,6943.8
TXN10110,CUST236,2026-01-21,62.0,Male,Hyderabad,Beauty,5,3862.89,UPI,5,90.73,3.0,Yes,18439.4575
TXN10111,CUST163,2026-06-27,53.0,Male,Hyderabad,Fashion,7,4279.33,Wallet,10,146.3,3.0,No,27106.079
TXN10112,CUST239,2026-06-10,39.0,Male,Delhi,Electronics,1,3916.57,COD,0,22.97,3.0,Yes,3939.54
TXN10113,CUST181,2026-01-07,31.0,Male,Hyderabad,Fashion,4,3192.22,Credit Card,10,46.31,4.0,No,11538.302
TXN10114,CUST492,2026-03-11,33.0,Male,Delhi,Electronics,5,2618.44,Wallet,0,169.34,5.0,No,13261.54
TXN10115,CUST263,2026-05-07,53.0,Female,Hyderabad,Beauty,8,3572.65,Credit Card,10,136.2,5.0,Yes,25859.28
TXN10116,CUST389,2026-05-23,42.0,Male,Pune,Fashion,8,2015.08,Credit Card,5,85.56,3.0,Yes,15400.167999999998
TXN10117,CUST479,2026-06-09,49.0,Female,Mumbai,Electronics,1,4222.41,Wallet,5,110.12,5.0,Yes,4121.4095
TXN10118,CUST361,2026-05-28,50.0,Male,Mumbai,Beauty,5,3418.23,UPI,5,182.93,4.0,Yes,16419.5225
TXN10119,CUST331,2026-05-23,62.0,Female,Delhi,Home,1,3519.24,Credit Card,5,133.68,2.0,Yes,3476.958
TXN10120,CUST141,2026-06-25,53.0,Female,Hyderabad,Electronics,1,2726.09,UPI,0,91.67,3.0,Yes,2817.76
TXN10121,CUST128,2026-05-29,37.0,Female,Bangalore,Fashion,2,4437.62,COD,20,41.66,1.0,No,7141.852
TXN10122,CUST235,2026-06-19,35.0,Female,Bangalore,Beauty,2,1334.87,Wallet,0,72.87,3.0,Yes,2742.61
TXN10123,CUST301,2026-06-03,55.0,Male,Mumbai,Electronics,9,1967.62,Credit Card,10,196.1,3.0,No,16133.821999999998
TXN10124,CUST428,2026-04-30,20.0,Male,Pune,Beauty,4,3910.45,UPI,0,98.73,2.0,No,15740.53
TXN10125,CUST368,2026-05-08,40.0,Male,Mumbai,Beauty,3,2514.47,Credit Card,0,104.93,3.0,Yes,7648.34
TXN10126,CUST133,2026-05-22,49.0,Male,Delhi,Beauty,1,4457.15,COD,10,109.75,3.0,Yes,4121.185
TXN10127,CUST148,2026-02-26,62.0,Female,Pune,Fashion,2,1797.36,COD,5,179.14,1.0,Yes,3594.124
TXN10128,CUST162,2026-06-14,33.0,Female,Bangalore,Electronics,6,1909.72,Credit Card,10,128.71,1.0,Yes,10441.198
TXN10129,CUST316,2026-02-27,22.0,Female,Hyderabad,Electronics,9,4454.81,Wallet,10,144.86,1.0,Yes,36228.821
TXN10130,CUST393,2026-01-21,21.0,Male,Hyderabad,Electronics,5,2375.41,COD,20,90.09,3.0,Yes,9591.73
TXN10131,CUST199,2026-03-23,38.0,Female,Delhi,Fashion,4,2629.01,UPI,20,25.24,2.0,Yes,8438.072
TXN10132,CUST272,2026-03-10,57.0,Male,Mumbai,Fashion,5,1730.54,COD,5,187.58,5.0,Yes,8407.645
TXN10133,CUST460,2026-05-11,68.0,Female,Delhi,Beauty,9,1455.68,UPI,10,190.84,1.0,Yes,11981.848000000002
TXN10134,CUST314,2026-03-28,31.0,Female,Hyderabad,Electronics,7,3314.15,Credit Card,10,190.85,5.0,No,21069.995
TXN10135,CUST135,2026-06-14,56.0,Female,Bangalore,Electronics,8,687.22,UPI,10,189.86,4.0,Yes,5137.844
TXN10136,CUST327,2026-02-18,48.0,Female,Hyderabad,Home,4,4408.44,Credit Card,0,166.74,2.0,Yes,17800.5
TXN10137,CUST201,2026-05-27,31.0,Female,Pune,Home,8,3918.1,COD,20,143.23,5.0,Yes,25219.07
TXN10138,CUST231,2026-04-25,23.0,Male,Hyderabad,Electronics,6,1034.67,Wallet,20,172.01,3.0,Yes,5138.426000000001
TXN10139,CUST357,2026-03-30,43.0,Female,Hyderabad,Home,5,3500.7,COD,5,128.1,3.0,Yes,16756.425
TXN10140,CUST105,2026-03-26,33.0,Male,Hyderabad,Home,7,3052.9,COD,20,44.19,1.0,Yes,17140.43
TXN10141,CUST318,2026-05-08,34.0,Male,Hyderabad,Electronics,6,1004.22,COD,20,90.42,1.0,No,4910.676
TXN10142,CUST355,2026-05-20,62.0,Male,Pune,Electronics,3,1438.7,COD,5,194.83,5.0,Yes,4295.125
TXN10143,CUST498,2026-06-18,40.0,Male,Mumbai,Home,5,2104.03,Wallet,10,83.2,3.0,Yes,9551.335000000005
TXN10144,CUST459,2026-06-10,31.0,Male,Hyderabad,Electronics,9,3526.29,COD,0,176.21,5.0,Yes,31912.82
TXN10145,CUST383,2026-06-27,24.0,Male,Delhi,Home,7,3229.74,UPI,5,36.78,4.0,Yes,21514.551
TXN10146,CUST493,2026-04-27,63.0,Male,Hyderabad,Beauty,4,2707.95,Wallet,20,80.15,2.0,Yes,8745.59
TXN10147,CUST307,2026-05-07,49.0,Male,Delhi,Beauty,7,3865.21,Wallet,5,83.17,3.0,Yes,25786.8165
TXN10148,CUST115,2026-03-12,32.0,Female,Pune,Beauty,5,3813.89,UPI,20,29.29,3.0,Yes,15284.850000000002
TXN10149,CUST446,2026-03-27,61.0,Female,Hyderabad,Fashion,2,3127.51,Credit Card,10,41.44,3.0,No,5670.9580000000005
TXN10150,CUST142,2026-02-02,34.0,Male,Pune,Beauty,6,3956.25,COD,10,54.77,4.0,Yes,21418.52
TXN10151,CUST480,2026-03-22,58.0,Male,Pune,Electronics,7,1737.89,Wallet,10,170.81,3.0,Yes,11119.517000000002
TXN10152,CUST279,2026-06-01,64.0,Male,Mumbai,Fashion,8,4418.12,COD,20,31.41,4.0,Yes,28307.378
TXN10153,CUST163,2026-03-02,61.0,Female,Hyderabad,Fashion,6,3113.06,COD,5,73.77,3.0,Yes,17818.212
TXN10154,CUST452,2026-03-02,51.0,Female,Delhi,Beauty,8,4129.58,UPI,20,21.83,4.0,Yes,26451.142000000003
TXN10155,CUST331,2026-04-08,22.0,Male,Delhi,Home,7,2776.77,UPI,10,145.21,1.0,No,17638.861
TXN10156,CUST341,2026-01-28,62.0,Male,Hyderabad,Electronics,2,1170.35,UPI,10,131.65,5.0,Yes,2238.28
TXN10157,CUST152,2026-02-12,44.0,Female,Hyderabad,Home,6,2757.81,COD,10,136.1,3.0,Yes,15028.274
TXN10158,CUST196,2026-06-18,69.0,Female,Mumbai,Home,9,1918.45,Wallet,20,87.39,2.0,No,13900.23
TXN10159,CUST488,2026-06-16,40.0,Male,Mumbai,Fashion,6,3517.75,Wallet,0,57.49,1.0,No,21163.99
TXN10160,CUST322,2026-03-27,57.0,Male,Mumbai,Fashion,4,2431.39,Credit Card,10,149.66,4.0,Yes,8902.663999999999
TXN10161,CUST331,2026-06-26,31.0,Male,Delhi,Fashion,7,4196.95,COD,5,166.0,2.0,Yes,28075.717499999995
TXN10162,CUST337,2026-01-17,32.0,Male,Pune,Electronics,3,3422.56,Credit Card,10,44.95,1.0,Yes,9285.862
TXN10163,CUST243,2026-04-08,60.0,Female,Hyderabad,Electronics,5,3454.27,Credit Card,20,107.63,3.0,Yes,13924.71
TXN10164,CUST271,2026-04-08,50.0,Female,Mumbai,Electronics,1,1164.06,Credit Card,5,64.77,3.0,No,1170.627
TXN10165,CUST129,2026-03-06,48.0,Male,Delhi,Fashion,3,4922.82,Credit Card,20,50.26,3.0,Yes,11865.028
TXN10166,CUST136,2026-03-15,52.0,Male,Delhi,Beauty,8,4224.21,Credit Card,0,152.18,4.0,No,33945.86
TXN10167,CUST113,2026-03-26,34.0,Male,Pune,Fashion,9,3966.12,COD,0,116.86,1.0,Yes,35811.94
TXN10168,CUST260,2026-01-05,45.0,Female,Hyderabad,Electronics,9,1718.05,UPI,20,58.91,1.0,No,12428.87
TXN10169,CUST427,2026-01-02,36.0,Male,Hyderabad,Fashion,2,2724.6,Credit Card,10,75.8,4.0,No,4980.08
TXN10170,CUST287,2026-01-22,63.0,Male,Mumbai,Electronics,4,771.81,Wallet,5,194.0,3.0,No,3126.878
TXN10171,CUST343,2026-04-22,40.0,Male,Mumbai,Fashion,5,2738.53,COD,10,172.76,3.0,Yes,12496.145000000002
TXN10172,CUST186,2026-02-26,49.0,Female,Hyderabad,Beauty,3,814.86,Credit Card,20,178.39,5.0,Yes,2134.054
TXN10173,CUST384,2026-03-07,57.0,Male,Pune,Electronics,1,2809.89,Wallet,20,102.8,3.0,No,2350.712
TXN10174,CUST166,2026-03-15,30.0,Female,Mumbai,Beauty,6,3278.74,Credit Card,10,132.29,4.0,No,17837.486
TXN10175,CUST270,2026-04-08,37.0,Male,Pune,Electronics,2,2011.96,UPI,5,87.82,5.0,No,3910.544
TXN10176,CUST145,2026-05-24,52.0,Male,Delhi,Home,9,2542.87,COD,5,33.99,1.0,No,21775.5285
TXN10177,CUST162,2026-04-22,43.0,Male,Mumbai,Beauty,1,4390.7,UPI,5,92.19,3.0,Yes,4263.355
TXN10178,CUST234,2026-06-28,26.0,Female,Delhi,Fashion,9,631.96,Wallet,5,126.92,3.0,Yes,5530.178
TXN10179,CUST384,2026-05-05,46.0,Male,Bangalore,Electronics,7,3979.49,Credit Card,5,71.69,3.0,Yes,26535.2985
TXN10180,CUST128,2026-06-16,23.0,Male,Pune,Fashion,2,936.7,UPI,0,172.63,3.0,Yes,2046.03
TXN10181,CUST208,2026-03-27,42.0,Female,Bangalore,Fashion,6,279.87,UPI,0,47.2,5.0,Yes,1726.42
TXN10182,CUST144,2026-03-17,48.0,Female,Mumbai,Beauty,8,1009.32,Credit Card,20,86.08,1.0,No,6545.728000000001
TXN10183,CUST440,2026-03-29,39.0,Female,Delhi,Electronics,2,3848.71,COD,0,42.48,3.0,Yes,7739.9
TXN10184,CUST386,2026-06-17,19.0,Male,Mumbai,Home,5,2085.12,Wallet,5,92.87,5.0,Yes,9997.19
TXN10185,CUST431,2026-02-07,62.0,Female,Bangalore,Fashion,6,4375.35,COD,5,27.14,3.0,No,24966.635
TXN10186,CUST228,2026-02-28,22.0,Male,Mumbai,Electronics,3,2671.07,Wallet,5,69.06,3.0,Yes,7681.609500000001
TXN10187,CUST448,2026-05-18,44.0,Female,Hyderabad,Home,2,209.03,Wallet,20,92.13,1.0,Yes,426.578
TXN10188,CUST331,2026-04-09,42.0,Female,Hyderabad,Fashion,6,3611.9,UPI,20,106.07,1.0,Yes,17443.190000000002
TXN10189,CUST290,2026-03-04,25.0,Female,Bangalore,Electronics,3,640.14,Credit Card,10,117.87,2.0,No,1846.248
TXN10190,CUST325,2026-02-18,18.0,Male,Mumbai,Beauty,2,3967.96,COD,0,69.5,5.0,Yes,8005.42
TXN10191,CUST485,2026-02-01,37.0,Male,Delhi,Fashion,1,923.7,UPI,0,114.15,3.0,Yes,1037.85
TXN10192,CUST477,2026-05-15,61.0,Male,Mumbai,Fashion,8,1792.69,UPI,10,111.62,3.0,Yes,13018.988
TXN10193,CUST383,2026-01-21,40.0,Male,Delhi,Electronics,1,3830.23,UPI,10,76.91,3.0,No,3524.117
TXN10194,CUST221,2026-01-20,49.0,Male,Hyderabad,Fashion,5,4775.73,COD,0,169.44,4.0,Yes,24048.09
TXN10195,CUST216,2026-06-03,28.0,Male,Mumbai,Home,6,1920.03,UPI,5,118.22,3.0,Yes,11062.391
TXN10196,CUST333,2026-05-07,56.0,Male,Hyderabad,Fashion,3,4164.06,Credit Card,0,79.81,1.0,Yes,12571.99
TXN10197,CUST359,2026-03-09,64.0,Male,Bangalore,Electronics,7,1034.88,UPI,5,190.52,3.0,Yes,7072.472000000001
TXN10198,CUST459,2026-04-20,41.0,Male,Delhi,Home,2,4055.18,UPI,20,172.12,3.0,Yes,6660.408
TXN10199,CUST298,2026-04-26,28.0,Female,Hyderabad,Electronics,7,3321.72,Wallet,0,196.87,4.0,Yes,23448.91
TXN10200,CUST237,2026-05-23,46.0,Female,Bangalore,Home,2,1044.44,UPI,0,144.6,1.0,Yes,2233.48
TXN10201,CUST418,2026-04-30,43.0,Male,Delhi,Electronics,5,1582.27,COD,20,88.08,2.0,Yes,6417.160000000001
TXN10202,CUST265,2026-03-20,33.0,Male,Hyderabad,Electronics,7,745.68,COD,20,70.55,3.0,Yes,4246.358
TXN10203,CUST325,2026-04-26,52.0,Male,Pune,Fashion,3,1976.54,Credit Card,20,139.4,5.0,Yes,4883.096
TXN10204,CUST407,2026-04-02,37.0,Male,Mumbai,Fashion,4,1097.88,COD,20,196.55,3.0,Yes,3709.766000000001
TXN10205,CUST334,2026-01-14,63.0,Female,Hyderabad,Beauty,1,3255.59,COD,20,132.81,4.0,Yes,2737.282
TXN10206,CUST272,2026-06-04,20.0,Female,Delhi,Home,3,4973.08,UPI,10,178.69,4.0,No,13606.006
TXN10207,CUST252,2026-05-05,18.0,Male,Delhi,Beauty,9,158.84,Credit Card,10,79.24,5.0,No,1365.844
TXN10208,CUST415,2026-06-17,64.0,Female,Delhi,Electronics,5,2750.51,COD,20,93.25,5.0,No,11095.29
TXN10209,CUST474,2026-02-27,18.0,Female,Delhi,Fashion,8,2910.97,Credit Card,20,183.13,1.0,Yes,18813.338
